User Input,Chatbot Response,Timestamp
Hello,Hey,2025-01-03 21:45:25
some movies,"As an AI, I don't watch movies, but I can suggest some popular ones like The Shawshank Redemption, Inception, or The Godfather.",2025-01-03 21:45:37
ok,Hi there,2025-01-03 21:45:43
movies recommend,"As an AI, I don't watch movies, but I can suggest some popular ones like The Shawshank Redemption, Inception, or The Godfather.",2025-01-03 21:45:51
Hi,Hi there,2025-01-03 21:50:16
hello,Hello,2025-01-03 21:56:59
movies,"I may not have personal preferences, but I can help you find movies based on your taste!",2025-01-03 21:57:04
moviesyep,Hello,2025-01-03 21:57:12
ok,Nothing much,2025-01-03 21:57:20
hi,Hey,2025-01-03 21:57:24
planet,Hi there,2025-01-03 21:57:33
g,"I'm fine, thank you",2025-01-03 21:58:08
hi,Hi there,2025-01-03 22:01:17
hi,Nothing much,2025-01-03 22:03:47
gardening,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2025-01-03 22:03:59
hi,Hey,2025-01-03 22:06:01
what are you,I am a chatbot,2025-01-03 22:06:08
what are you,My purpose is to assist you,2025-01-03 22:06:30
